"н.э.","T anomaly"
1372,-0.2424
1373,-0.3185
1374,-0.2305
1375,-0.3768
1376,-0.3233
1377,-0.4293
1378,-0.3518
1379,-0.3624
1380,-0.3391
1381,-0.2937
1382,-0.3093
1383,-0.3056
1384,-0.3159
1385,-0.3059
1386,-0.2278
1387,-0.3561
1388,-0.3517
1389,-0.3479
1390,-0.3156
1391,-0.2802
1392,-0.3606
1393,-0.3387
1394,-0.2931
1395,-0.3717
1396,-0.3353
1397,-0.3505
1398,-0.3737
1399,-0.4549
1400,-0.4008
1401,-0.3248
1402,-0.3131
1403,-0.2799
1404,-0.2406
1405,-0.3159
1406,-0.2025
1407,-0.3037
1408,-0.3089
1409,-0.2889
1410,-0.3374
1411,-0.246
1412,-0.3163
1413,-0.2987
1414,-0.3968
1415,-0.3067
1416,-0.3418
1417,-0.3609
1418,-0.3527
1419,-0.3557
1420,-0.2809
1421,-0.2774
1422,-0.3582
1423,-0.3789
1424,-0.2427
1425,-0.2955
1426,-0.3047
1427,-0.2598
1428,-0.2708
1429,-0.2778
1430,-0.3157
1431,-0.2268
1432,-0.2427
1433,-0.3149
1434,-0.2989
1435,-0.3166
1436,-0.2966
1437,-0.2697
1438,-0.404
1439,-0.4114
1440,-0.3846
1441,-0.3797
1442,-0.3909
1443,-0.3319
1444,-0.3971
1445,-0.3032
1446,-0.3839
1447,-0.3695
1448,-0.4702
1449,-0.4753
1450,-0.4921
1451,-0.4279
1452,-0.4479
1453,-0.5854
1454,-0.4974
1455,-0.6029
1456,-0.5963
1457,-0.5571
1458,-0.522
1459,-0.5349
1460,-0.4416
1461,-0.5348
1462,-0.4888
1463,-0.5324
1464,-0.5105
1465,-0.4639
1466,-0.5749
1467,-0.484
1468,-0.5067
1469,-0.4721
1470,-0.4498
1471,-0.5369
1472,-0.5666
1473,-0.5281
1474,-0.5889
1475,-0.5425
1476,-0.5757
1477,-0.5018
1478,-0.4719
1479,-0.4727
1480,-0.4792
1481,-0.5178
1482,-0.4147
1483,-0.5198
1484,-0.3697
1485,-0.3756
1486,-0.4369
1487,-0.3869
1488,-0.3959
1489,-0.3048
1490,-0.3133
1491,-0.3538
1492,-0.4271
1493,-0.3964
1494,-0.4029
1495,-0.4474
1496,-0.371
1497,-0.4901
1498,-0.4821
1499,-0.3968
1500,-0.411
1501,-0.3809
1502,-0.3864
1503,-0.4014
1504,-0.3399
1505,-0.3692
1506,-0.3346
1507,-0.3897
1508,-0.3349
1509,-0.3618
1510,-0.3331
